Product Name,Product Price,Product Colors
Lace-trimmed Satin Slip Dress,$39.99,Dark gray
10-pack Cotton Bikini Briefs,$29.99,Black
MAMA Lace-trimmed Bike Shorts,$17.99,Black
Gathered Dress,$26.99,Black
Crop Denim Jacket,$34.99,Pale denim blue
Crêped Shorts,$12.99,Light beige/leaves
Microfiber Padded Balconette Bra,$17.99,Black
Knot-detail Skirt,$64.99,White/striped
Tie-shoulder-strap Crêped Dress,$49.99,Cream/floral
2-pack Heart-shaped Hair Claws,$6.99,Gold-colored
Curvy Fit Wide Regular Jeans,$44.99,"White, Light denim blue"
Knit Cashmere Top,$129.00,Dark gray
Patterned Chiffon Dress,$49.99,Light beige/floral
Rib-knit Turtleneck Sweater,$29.99,Light beige
Wooden Detangling Comb,$6.99,Beige
Smocked Top,$29.99,Black
Mesh Pencil Skirt,$64.99,Black
Textured Pants,$67.99,Cream
Padded Bandeau Bikini Top,$17.99,"Navy blue, Light blue/striped"
Knot-detail Espadrille Slides,$19.99,Black
Puffer Jacket,$49.99,Light gray
Pencil Skirt,$49.99,Black/geometric pattern
Cropped Jeans,$39.99,Denim blue
Color-block Tank Top,$14.99,"Light beige/black, White/bright blue"
Eyelet Embroidered Shirt Dress,$84.99,White
Flutter-sleeved Jersey Top,$19.99,Red
Non-padded Underwire Lace Bra,$27.99,Black
DryMove™ Long-sleeved Sports Top,$24.99,White
Silk-blend Top,$49.99,White
Tie-neck Lace Blouse,$26.99,Black
Wide-leg Pants,$44.99,Navy blue/striped
MAMA Before & After Sweater,$49.99,Light beige/striped
Cotton Bodycon Dress,$14.99,Light gray
Open-back Camisole Top,$17.99,Black
MAMA Ruffle-trimmed Dress,$34.99,Pink/small flowers
Gathered Off-the-shoulder Dress,$39.99,Black/dotted
Mules,$29.99,Light beige
Linen-blend Shorts,$19.99,Red
Cotton Espadrilles,$19.99,Red/striped
MAMA Ribbed Tank Top,$9.99,Black
6 Pairs Hoop Earrings,$9.99,Gold-colored
Oversized Poplin Shirt,$26.99,White
Quilted-look Pool Shoes,$13.99,Light purple
Brazilian Bikini Bottoms,$14.99,Black
Coated Corset-style Top,$17.99,Brown/distressed
Hair Clip with Bow,$12.99,Light dusty turquoise
Lace Crop Top,$24.99,"Light beige, Black"
Dress with Lacing,$39.99,Khaki green
Cotton Pencil Skirt,$24.99,Dark gray
Pajama Camisole Top and Shorts,$17.99,Light beige
Crinkled Tie-detail Dress,$39.99,Blue
Ribbed Tank Top,$17.99,Light beige
2-pack Medium Shape Thong Briefs,$24.99,"Light beige, Dark beige"
Track Jacket,$34.99,White/navy blue
DryMove™ Light Support Sports Bra,$12.99,Black
Denim Shirt Dress,$49.99,Light denim blue
High Waist Leggings,$14.99,Black
Gathered Thong Bodysuit,$12.99,Black
SoftMove™ Flared Sports Leggings,$39.99,Black
Slides,$24.99,Black
Ribbed Long-sleeved Top,$12.99,Black
Balloon-sleeved Sweater,$29.99,"Cream, Light pink"
Linen Jacket,$99.00,Black
Slim Regular Denim Shorts,$29.99,Denim blue
Bodycon Dress,$25.99,Dark brown
MAMA 2-pack Cotton Tops,$29.99,Cream/black
Smocked Top,$19.99,Bright blue/patterned
Mini Crossbody Bag,$31.99,Beige/black patterned
Linen-blend Shirt,$31.99,Taupe
Satin Bathrobe,$56.99,Dusty blue
Curvy Fit Straight Regular Jeans,$44.99,Denim blue
Oversized Twill Blazer,$62.99,Dark gray
Satin Thong Briefs,$4.99,"Black, Powder pink"
StormMove™ Unisex Rain Jacket,$74.99,Black
MAMA Jersey Leggings,$29.99,Black
Asymmetric-neck Top,$19.99,Black
Double-weave Cotton Dress,$34.99,Black
Coated Crossbody Bag,$19.99,Taupe/distressed
High-leg Halterneck Swimsuit,$24.99,"Bright green, Black"
Lace-trimmed Slip Dress,$29.99,Black
Tapered Regular Jeans,$34.99,Dark gray
Linen Jersey T-shirt,$19.99,Beige
Smocked Cotton Dress,$24.99,Cream/pink floral
MAMA Before & After Linen-blend Shorts,$34.99,Pistachio green
Rib-knit Pants,$19.99,Light beige
Denim Bustier-style Top,$19.99,Black
2-pack Padded Underwire Bras,$29.99,Beige/black
Leather Loafers,$74.99,Black
Baggy Regular Jeans,$44.99,"Black, Pale denim blue, White"
Curvy Fit Baggy Low Jeans,$34.99,Light denim blue
6 Pairs Hoop Earrings,$14.99,Gold-colored
Twill Cargo Pants,$59.99,Gray/tie-dye
Braided-detail Slides,$30.99,Gold-colored
Creased Denim Pants,$67.99,Dark denim blue
Ribbed Bodycon Dress,$24.99,Black
Boxy Printed T-shirt,$24.99,Black/Ariana Grande
MAMA Before & After Maternity/nursing Top,$27.99,Black
DryMove™ Running shorts,$34.99,Black
Oversized Linen Shirt,$34.99,Black
Lace Camisole Top,$14.99,"Cerise, Light beige"
Short Jersey Top,$13.99,Pink
MAMA Padded-cup Swimsuit,$34.99,Black
Draped One-shoulder Top,$29.99,Black
Oversized Turtleneck Sweater,$34.99,Gray melange
Strappy Heeled Sandals,$34.99,Black
Rib-knit Hat,$12.99,Light gray
Curvy Fit Straight High Jeans,$29.99,Black
Light Shape Bikini Bottoms,$17.99,Black
Flounce-detail Camisole Top,$14.99,Light yellow
DryMove™ Seamless Sports Top,$29.99,Dark plum
Cat Eye Sunglasses,$13.99,White
Tie-belt Satin Dress,$49.99,Pink
Pointed-collar Shirt,$26.99,Gray
Halterneck Thong Bodysuit,$17.99,Cream
Glittery Fine-knit Maxi Dress,$49.99,Light gray
Double-sided Silicone Body Brush,$9.99,Light pink
Pleated Wrapover Dress,$34.99,Black
Oversized Printed Hoodie,$39.99,Black/Korn
Linen-blend Dress with Eyelet Embroidery,$74.99,Black
Thick Jersey Leggings,$25.99,Black
Mesh Bustier Top,$24.99,Dark gray
Crêped Wrap-front Dress,$26.99,Black
SoftMove™ Medium Support Sports Bra,$24.99,"Cream, Dusty purple"
3-pack Silk Scrunchies,$9.99,Black/dusty pink/ivory-colored
True To You Flared High Jeans,$49.99,Black
Wide-leg Coated Pants,$39.99,Black
Lace Top,$14.99,Cream
V-neck Cotton Blouse,$24.99,White
2-pack Tank Tops,$13.99,Light gray melange/white
Cotton Halterneck Dress,$24.99,Black
Blouse with Collar,$17.99,Cerise
Hairbrush,$9.99,Black
Seamless Balconette Bra,$24.99,Black
Smocked-waist Top,$17.99,Red
Heart-pendant Necklace,$10.99,Gold-colored
Padlock-detail Crossbody Bag,$34.99,Black
Lace-detail Dress,$54.99,Black
Ribbed Scoop-neck T-shirt,$19.99,"Light green melange, Light blue melange"
Cat Eye Sunglasses,$19.99,Black
Non-padded Embroidered Balconette Bra,$34.99,Light pink
Ribbed Capri Leggings,$17.99,Dark gray
5-pack Lace Thong Briefs,$19.99,"Black, White/cream/beige"
Narrow Leather Belt,$19.99,Dark brown
MAMA Padded-cup Cut-out Swimsuit,$34.99,Black
MAMA Flounce-trimmed Nursing Dress,$64.99,White/floral
Lace-trimmed Halterneck Top,$24.99,Cream
Tie-strap top,$34.99,Light beige
Crinkled Wrap Dress,$24.99,Black
Lace Super Push-up Bodysuit,$39.99,Black
Silk-blend Shirt,$99.00,Light blue
Mock Turtleneck Top,$26.99,Black
DryMove™ Running Jacket,$64.99,Dark khaki green
StormMove™ Unisex Rain Pants,$59.99,Black
Embroidered Thong Briefs,$9.99,Light pink
MAMA Before & After Cotton Pajamas,$54.99,Light blue/striped
Sweatshirt with Motif,$24.99,White/Club Society
Chain-detail Halterneck Top,$27.99,Light beige
Cotton Jersey Top,$54.99,Navy blue/striped
Shopper,$39.99,Black/crocodile-patterned
Satin Padded Bra,$14.99,Black
Lace-trimmed Crêped Slip Dress,$29.99,Black/floral
Tie-belt Dress,$39.99,Light brown
Satin Thong Briefs,$6.99,Powder pink
Shopping Bag,$29.99,Black
Lyocell-blend Flounced Blouse,$64.99,White
DryMove™ Mesh-detail Sports Hot Pants,$17.99,Black
Bustier-style Crop Top,$19.99,Light green/checked
Modal-blend Utility Dress,$79.99,Khaki green
