Product Name,Product Price,Product Colors
Shirt,$19.99,"Cream, White/black striped, Black, Powder pink, Black/dotted"
Draped Sleeveless Top,$14.99,"Taupe, Light beige"
Fine-knit Sweater,$17.99,"Black/striped, Navy blue, Gray"
Crinkled Jersey Jumpsuit,$19.99,Black
Shoulder-pad Blouse,$34.99,Light turquoise
Sweatshirt with Motif,$19.99,"White/Yale University, Dark gray/The Beatles"
Padded-cup Swimsuit,$26.99,"Black, Dark khaki green"
Wide-cut Sweatpants,$24.99,Dark gray
Ballet Flats,$26.99,"Black/patent, Black/canvas"
Nylon Parachute Pants,$19.99,"Black, Light beige, Dark gray, Khaki green, Navy blue"
Straight High Jeans,$54.99,"Medium denim blue, Light denim blue, Denim blue, Black/washed"
